control_no,map_name,comp,result,final_score,game_mode,game_length,team,elimination,assist,death,damage,heal,mitigation
1,eichenwalde,no,victory,0-2,hybrid,10:00,A,10,11,3,3473,5102,2261
1,eichenwalde,no,victory,0-2,hybrid,10:00,A,19,4,3,6996,31,2645
1,eichenwalde,no,victory,0-2,hybrid,10:00,A,23,1,6,7869,409,957
1,eichenwalde,no,victory,0-2,hybrid,10:00,A,18,8,8,6544,1290,1512
1,eichenwalde,no,victory,0-2,hybrid,10:00,A,10,4,2,4575,3292,0
1,eichenwalde,no,defeat,0-2,hybrid,10:00,B,12,5,9,5594,3209,1328
1,eichenwalde,no,defeat,0-2,hybrid,10:00,B,11,4,7,3355,878,3573
1,eichenwalde,no,defeat,0-2,hybrid,10:00,B,7,1,8,2960,2548,2767
1,eichenwalde,no,defeat,0-2,hybrid,10:00,B,16,1,7,6451,3647,3938
1,eichenwalde,no,defeat,0-2,hybrid,10:00,B,6,9,6,1622,2942,863
2,antartic_peninsula,no,defeat,0-2,control,8:11,A,7,1,5,4629,869,1131
2,antartic_peninsula,no,defeat,0-2,control,8:11,A,6,3,7,5499,325,2358
2,antartic_peninsula,no,defeat,0-2,control,8:11,A,6,4,3,3120,1897,0
2,antartic_peninsula,no,defeat,0-2,control,8:11,A,6,5,3,3159,4115,292
2,antartic_peninsula,no,defeat,0-2,control,8:11,A,5,2,4,2641,4940,782
2,antartic_peninsula,no,victory,0-2,control,8:11,B,15,6,4,4537,981,3119
2,antartic_peninsula,no,victory,0-2,control,8:11,B,19,11,0,5050,3964,2155
2,antartic_peninsula,no,victory,0-2,control,8:11,B,17,6,1,5573,2860,3809
2,antartic_peninsula,no,victory,0-2,control,8:11,B,13,11,3,4813,2329,1106
2,antartic_peninsula,no,victory,0-2,control,8:11,B,8,13,2,1887,3404,0
3,havana,yes,victory,3-2,escort,17:26,A,39,14,7,11638,7677,3944
3,havana,yes,victory,3-2,escort,17:26,A,29,10,7,10721,3461,1518
3,havana,yes,victory,3-2,escort,17:26,A,18,3,10,9915,811,4615
3,havana,yes,victory,3-2,escort,17:26,A,23,11,8,6805,6630,1715
3,havana,yes,victory,3-2,escort,17:26,A,28,14,5,7669,6830,3017
3,havana,yes,defeat,3-2,escort,17:26,B,17,9,11,7825,8027,3426
3,havana,yes,defeat,3-2,escort,17:26,B,26,2,10,11034,1398,2389
3,havana,yes,defeat,3-2,escort,17:26,B,11,11,11,5738,4627,1351
3,havana,yes,defeat,3-2,escort,17:26,B,16,13,11,7474,9712,2961
3,havana,yes,defeat,3-2,escort,17:26,B,18,5,15,7866,2981,2611
4,suravasa,no,defeat,2-3,flashpoint,16:03,A,32,5,6,12847,436,433
4,suravasa,no,defeat,2-3,flashpoint,16:03,A,14,5,9,6869,6545,1353
4,suravasa,no,defeat,2-3,flashpoint,16:03,A,19,12,11,7309,4757,1021
4,suravasa,no,defeat,2-3,flashpoint,16:03,A,17,10,9,6988,2400,1199
4,suravasa,no,defeat,2-3,flashpoint,16:03,A,8,28,8,5091,7150,2247
4,suravasa,no,victory,2-3,flashpoint,16:03,B,24,13,9,7626,4887,6148
4,suravasa,no,victory,2-3,flashpoint,16:03,B,27,8,11,10508,38,7464
4,suravasa,no,victory,2-3,flashpoint,16:03,B,23,6,6,7758,7246,413
4,suravasa,no,victory,2-3,flashpoint,16:03,B,16,12,9,5291,6897,6582
4,suravasa,no,victory,2-3,flashpoint,16:03,B,14,14,10,4696,4050,3002
5,midtown,no,defeat,2-0,hybrid,10:22,A,22,4,6,5177,1415,1356
5,midtown,no,defeat,2-0,hybrid,10:22,A,19,9,4,5847,4835,7203
5,midtown,no,defeat,2-0,hybrid,10:22,A,20,1,7,5055,1423,102
5,midtown,no,defeat,2-0,hybrid,10:22,A,28,2,4,10577,545,0
5,midtown,no,defeat,2-0,hybrid,10:22,A,5,12,7,2466,7223,2501
5,midtown,no,victory,2-0,hybrid,10:22,B,15,7,10,6187,3955,1675
5,midtown,no,victory,2-0,hybrid,10:22,B,12,12,4,5318,2370,3111
